,country,time,lex
462,ago,1961,44.81
463,ago,1962,44.99
464,ago,1963,45.17
465,ago,1964,45.37
466,ago,1965,45.58
467,ago,1966,45.78
468,ago,1967,45.98
469,ago,1968,46.19
470,ago,1969,46.39
471,ago,1970,46.57
472,ago,1971,46.79
473,ago,1972,46.95
474,ago,1973,47.16
475,ago,1974,47.36
476,ago,1975,47.46
477,ago,1976,47.54
478,ago,1977,47.66
479,ago,1978,47.82
480,ago,1979,47.97
481,ago,1980,48.13
482,ago,1981,48.21
483,ago,1982,48.24
484,ago,1983,48.22
485,ago,1984,48.38
486,ago,1985,48.56
487,ago,1986,48.56
488,ago,1987,48.65
489,ago,1988,48.59
490,ago,1989,49.37
491,ago,1990,49.67
492,ago,1991,50.31
493,ago,1992,50.34
494,ago,1993,48.98
495,ago,1994,50.33
496,ago,1995,51.16
497,ago,1996,51.66
498,ago,1997,51.65
499,ago,1998,50.62
500,ago,1999,51.92
501,ago,2000,52.78
502,ago,2001,53.44
503,ago,2002,54.48
504,ago,2003,55.09
505,ago,2004,55.53
506,ago,2005,56.35
507,ago,2006,56.96
508,ago,2007,57.95
509,ago,2008,58.76
510,ago,2009,59.49
511,ago,2010,60.21
512,ago,2011,60.84
513,ago,2012,61.44
514,ago,2013,62.13
515,ago,2014,63.01
516,ago,2015,63.52
517,ago,2016,63.87
518,ago,2017,64.24
519,ago,2018,64.63
520,ago,2019,65.08
521,ago,2020,64.88
522,ago,2021,64.24
523,ago,2022,64.53
524,ago,2023,65.9
525,ago,2024,66.1
526,ago,2025,66.3
527,ago,2026,66.49
528,ago,2027,66.67
529,ago,2028,66.86
530,ago,2029,67.05
531,ago,2030,67.24
532,ago,2031,67.42
533,ago,2032,67.6
534,ago,2033,67.77
535,ago,2034,67.95
536,ago,2035,68.11
537,ago,2036,68.28
538,ago,2037,68.44
539,ago,2038,68.62
540,ago,2039,68.78
541,ago,2040,68.94
542,ago,2041,69.1
543,ago,2042,69.25
544,ago,2043,69.4
545,ago,2044,69.56
546,ago,2045,69.71
547,ago,2046,69.86
548,ago,2047,70.02
549,ago,2048,70.17
550,ago,2049,70.31
551,ago,2050,70.46
552,ago,2051,70.6
553,ago,2052,70.73
554,ago,2053,70.88
555,ago,2054,71.02
556,ago,2055,71.15
557,ago,2056,71.29
558,ago,2057,71.42
559,ago,2058,71.56
560,ago,2059,71.69
561,ago,2060,71.82
562,ago,2061,71.94
563,ago,2062,72.09
564,ago,2063,72.22
565,ago,2064,72.35
566,ago,2065,72.47
567,ago,2066,72.6
568,ago,2067,72.73
569,ago,2068,72.86
570,ago,2069,72.99
571,ago,2070,73.12
572,ago,2071,73.25
573,ago,2072,73.38
574,ago,2073,73.5
575,ago,2074,73.63
576,ago,2075,73.76
577,ago,2076,73.89
578,ago,2077,74.0
579,ago,2078,74.13
580,ago,2079,74.25
581,ago,2080,74.38
582,ago,2081,74.5
583,ago,2082,74.63
584,ago,2083,74.75
585,ago,2084,74.88
586,ago,2085,75.01
587,ago,2086,75.13
588,ago,2087,75.25
589,ago,2088,75.37
590,ago,2089,75.51
591,ago,2090,75.63
592,ago,2091,75.75
593,ago,2092,75.87
594,ago,2093,75.99
595,ago,2094,76.12
596,ago,2095,76.26
597,ago,2096,76.39
598,ago,2097,76.52
599,ago,2098,76.65
600,ago,2099,76.79
601,ago,2100,76.91
602,alb,1800,35.4
603,alb,1801,35.4
604,alb,1802,35.4
605,alb,1803,35.4
606,alb,1804,35.4
607,alb,1805,35.4
608,alb,1806,35.4
609,alb,1807,35.4
610,alb,1808,35.4
611,alb,1809,35.4
612,alb,1810,35.4
613,alb,1811,35.4
614,alb,1812,35.4
615,alb,1813,35.4
616,alb,1814,35.4
617,alb,1815,35.4
618,alb,1816,35.4
619,alb,1817,35.4
620,alb,1818,35.4
621,alb,1819,35.4
622,alb,1820,35.4
623,alb,1821,35.4
624,alb,1822,35.4
625,alb,1823,35.4
626,alb,1824,35.4
627,alb,1825,35.4
628,alb,1826,35.4
629,alb,1827,35.4
630,alb,1828,35.4
631,alb,1829,35.4
632,alb,1830,35.4
633,alb,1831,35.4
634,alb,1832,35.4
635,alb,1833,35.4
636,alb,1834,35.4
637,alb,1835,35.4
638,alb,1836,35.4
639,alb,1837,35.4
640,alb,1838,35.4
641,alb,1839,35.4
642,alb,1840,35.4
643,alb,1841,35.4
644,alb,1842,35.4
645,alb,1843,35.4
646,alb,1844,35.4
647,alb,1845,35.4
648,alb,1846,35.4
649,alb,1847,35.4
650,alb,1848,35.4
651,alb,1849,35.4
652,alb,1850,35.4
653,alb,1851,35.39
654,alb,1852,35.37
655,alb,1853,35.36
656,alb,1854,35.34
657,alb,1855,35.33
658,alb,1856,35.31
659,alb,1857,35.3
660,alb,1858,35.28
661,alb,1859,35.27
662,alb,1860,35.25
663,alb,1861,35.24
664,alb,1862,35.22
665,alb,1863,35.21
666,alb,1864,35.19
667,alb,1865,35.18
668,alb,1866,35.16
669,alb,1867,35.15
670,alb,1868,35.13
671,alb,1869,35.12
672,alb,1870,35.1
673,alb,1871,35.09
674,alb,1872,35.08
675,alb,1873,35.06
676,alb,1874,35.05
677,alb,1875,35.03
678,alb,1876,35.02
679,alb,1877,35.0
680,alb,1878,34.99
681,alb,1879,34.97
682,alb,1880,34.96
683,alb,1881,34.94
684,alb,1882,34.93
685,alb,1883,34.91
686,alb,1884,34.9
687,alb,1885,34.88
688,alb,1886,34.87
689,alb,1887,34.85
690,alb,1888,34.84
691,alb,1889,34.82
692,alb,1890,34.81
693,alb,1891,34.79
694,alb,1892,34.78
695,alb,1893,34.77
696,alb,1894,34.75
697,alb,1895,34.74
698,alb,1896,34.72
699,alb,1897,34.71
700,alb,1898,34.69
701,alb,1899,34.68
702,alb,1900,34.66
703,alb,1901,34.65
704,alb,1902,34.63
705,alb,1903,34.62
706,alb,1904,34.6
707,alb,1905,34.59
708,alb,1906,34.57
709,alb,1907,34.56
710,alb,1908,34.54
711,alb,1909,34.53
712,alb,1910,34.51
713,alb,1911,34.5
714,alb,1912,34.49
715,alb,1913,34.47
716,alb,1914,34.46
717,alb,1915,34.44
718,alb,1916,34.43
719,alb,1917,34.41
720,alb,1918,18.88
721,alb,1919,34.38
722,alb,1920,34.37
723,alb,1921,34.35
724,alb,1922,34.34
725,alb,1923,34.32
726,alb,1924,34.31
727,alb,1925,34.29
728,alb,1926,34.28
729,alb,1927,34.26
730,alb,1928,34.25
731,alb,1929,34.23
732,alb,1930,35.08
733,alb,1931,35.93
734,alb,1932,36.78
735,alb,1933,37.63
736,alb,1934,38.47
737,alb,1935,39.33
738,alb,1936,40.17
739,alb,1937,41.02
740,alb,1938,41.86
741,alb,1939,41.4
742,alb,1940,40.42
743,alb,1941,39.95
744,alb,1942,38.52
745,alb,1943,35.65
746,alb,1944,32.78
747,alb,1945,45.28
748,alb,1946,48.17
749,alb,1947,49.62
750,alb,1948,50.48
751,alb,1949,51.35
752,alb,1950,52.21
753,alb,1951,53.58
754,alb,1952,54.48
755,alb,1953,55.35
756,alb,1954,56.15
757,alb,1955,56.27
758,alb,1956,58.04
759,alb,1957,59.26
760,alb,1958,60.96
761,alb,1959,61.74
762,alb,1960,62.55
763,alb,1961,63.28
764,alb,1962,63.32
765,alb,1963,63.78
766,alb,1964,64.37
767,alb,1965,64.79
768,alb,1966,65.55
769,alb,1967,66.07
770,alb,1968,66.55
771,alb,1969,67.1
772,alb,1970,67.79
773,alb,1971,68.34
774,alb,1972,68.84
775,alb,1973,69.31
776,alb,1974,69.75
777,alb,1975,70.19
778,alb,1976,70.66
779,alb,1977,71.13
780,alb,1978,71.7
781,alb,1979,71.35
782,alb,1980,71.25
783,alb,1981,71.32
784,alb,1982,71.41
785,alb,1983,71.23
786,alb,1984,71.41
787,alb,1985,71.89
788,alb,1986,72.27
789,alb,1987,72.21
